Part Type,Company,Part Name,Vin,Voltage Type IN,Vout,Voltage Type OUT,"Max P (kW, 25C)",CEC Eff,EU Eff,Peak Eff,Eff @ 10%,Eff @ 20%,Eff @ 30%,Eff @ 40%,Eff @ 50%,Eff @ 60%,Eff @ 70%,Eff @ 75%,Eff @ 80%,Eff @ 90%,Eff @ 100%,Modeled System,Building Type,Cost,Cost/Unit,Average Cost/Unit,Cost Source,,Component,Average Cost/Unit
1,,,,,,,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlopeTest,,,,,,,,,,,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,70.00%,75.00%,80.00%,90.00%,100.00%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Optimizer L,SolarEdge,P300,35 (8-48),DC,48 (< 60),DC,0.3,98.80%,,,97.18%,98.63%,99.14%,99.39%,99.50%,99.52%,99.47%,,99.41%,99.41%,99.29%,"B',C'",Small,53.73,179.1,182.0224206,https://tandem-solar-systems.com/buy-solar-products/solaredge-p300-mv-300w-power-optimizer/?gclid=Cj0KEQiAyuPCBRCimuayhb3qqvwBEiQAgz62kWRLWKk5bVNenjk0OzAjsxGVcaMEqF7uBz17wKUP8rsaAuTp8P8HAQ,,Power Optimizer,182.0224206
Power Optimizer L,SolarEdge,P400,50 (8-80),DC,48 (< 60),DC,0.4,98.80%,,,97.04%,98.58%,99.05%,99.25%,99.33%,99.33%,99.33%,,99.33%,99.29%,99.25%,"B',C'",Small,62.77,156.925,,https://www.altestore.com/store/inverters/inverter-accessories/solaredge-inverter-accessories/solaredge-400w-optimizer-for-7296-cell-modules-p11700/,,MPPT CC,
Power Optimizer L,SolarEdge,P600,60 (12-80),DC,48 (< 85),DC,0.6,98.70%,,,96.75%,98.41%,98.96%,99.16%,99.26%,99.26%,99.26%,,99.26%,99.22%,99.25%,"B',C'",Small,64.9,108.1666667,,http://www.invertersupply.com/index.php?main_page=product_info&products_id=6268&cPath=0_572&gclid=Cj0KEQiAyuPCBRCimuayhb3qqvwBEiQAgz62kRDYiNiF1cYKyUT2wciCH9BrmvOOxvgsDafyGmWaNm0aAmxf8P8HAQ,,DC-DC HL,
Power Optimizer L,SolarEdge,P700,80 (12-125),DC,48 (< 85),DC,0.7,98.70%,,,97.85%,98.46%,98.94%,99.04%,99.09%,99.11%,99.19%,,99.27%,99.24%,99.28%,"B',C'",Small,72.41,103.4428571,,http://www.invertersupply.com/index.php?main_page=product_info&products_id=6269&cPath=0_572&gclid=Cj0KEQiAyuPCBRCimuayhb3qqvwBEiQAgz62kXUqoWsnm6t-nrxrvdP8bnR7L-JzRMClfk_yoFqH4TcaAhF38P8HAQ,,String Inverter H,
Power Optimizer L,BlackMagic,BM5,(< 150),DC,48 (< 150),DC,0.7,,,99.50%,,,,,,,,,,,,"B',C'",Small,,,,,,Central Inverter,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
