Run,Med Peak,Med CEC,Max Peak,Max CEC
1,1.0,1.0,1.0,1.0
SlopeTest,1.0,0.6025,1.0,0.6025
Power Optimizer L,0.9933,0.991704,0.9952,0.9935504128902317
MPPT CC L,0.98,0.974992101010101,0.9918,0.9911055
DC-DC HL 0-1,0.9159999999999999,0.90934,0.9753000000000001,0.969663
DC-DC HL 1-5,0.97855,0.9751437236290694,0.982,0.9792246614197374
DC-DC LED Driver LL,0.97,0.956192778759167,0.98,0.9723167868957764
AC Transformer,0.992,0.9910530000000001,0.9944,0.9935470000000001
AC Transformer Steve,0.9818000000000001,0.9775929999999999,0.9818000000000001,0.9775929999999999
String Inverter L,0.963,0.9603,0.981,0.9788000000000001
String Inverter H,0.981,0.97914,0.987,0.986
Central Inverter,0.9801,0.978572,0.9890000000000001,0.9864500000000002
Microinverter L,0.9570000000000001,0.952887,0.972,0.9699300000000001
Microinverter H,0.9575,0.954605,0.966,0.9648599999999999
Rectifier LED LL,0.9176,0.901776,0.9220999999999999,0.9116580000000001
Rectifier LED HL,0.9347000000000001,0.9059536161866266,0.94,0.9167905000000002
Rectifier LL 0-1,0.9047,0.894338,0.9454,0.9375614999999999
Rectifier LL 1-5,0.9229,0.90788,0.9612,0.9555845000000001
Rectifier HL 0-1,0.9222999999999999,0.8986165,0.9508,0.9419465000000001
Rectifier HL 1-15,0.9605,0.9554428824505028,0.9682,0.964002
Rectifier LH,0.9589,0.949550057522124,0.9620000000000001,0.954780090497261
Rectifier HH,0.9693999999999999,0.9656736638795986,0.9783,0.9755064999999999
Grid Tie Inverter,0.973,0.9712923411885247,0.98,0.9784185450819672
Battery Inverter LL,0.9329999999999999,0.92135,0.9571,0.9474815
Battery Inverter HL,0.973,0.9712923411885247,0.98,0.9784185450819672
HP Elite AC,0.868,0.86748,0.868,0.86748
HP Envy AC,0.871,0.8690400000000001,0.871,0.8690400000000001
HP Pavilion AC,0.847,0.847,0.847,0.847
LED1 AC,0.884,0.85455,0.884,0.85455
LED2 DC,0.929,0.92895,0.929,0.92895
LED3 AC,0.868,0.8556499999999999,0.868,0.8556499999999999
HP Elite DC,0.8975,0.8805649999999999,0.8975,0.8805649999999999
HP Envy DC,0.899,0.8928149999999999,0.899,0.8928149999999999
HP Pavilion DC,0.9279999999999999,0.903105,0.9279999999999999,0.903105
LED1 DC,0.9279999999999999,0.9265,0.9279999999999999,0.9265
LED2 AC,0.893,0.85025,0.893,0.85025
LED3 DC,0.9279999999999999,0.9261999999999999,0.9279999999999999,0.9261999999999999
SecondaryA,0.929,0.829185,0.929,0.829185
SecondaryB,0.893,0.823243,0.893,0.823243
SecondaryC,0.892,0.8245520000000001,0.892,0.8245520000000001
SecondaryA250,0.731,0.594875,0.731,0.594875
SecondaryA500,0.84,0.7345900000000001,0.84,0.7345900000000001
Agilent Supply,0.855,0.7108,0.855,0.7108
Agilent Supply 250,0.578,0.42993,0.578,0.42993
Agilent Supply 500,0.708,0.5864600000000001,0.708,0.5864600000000001
HP Envy AC Steve,0.838,0.8380000000000001,0.838,0.8380000000000001
HP Elite AC Steve,0.8503000000000001,0.849248,0.8503000000000001,0.849248
HP Pavilion AC Steve,0.8304,0.8290160000000001,0.8304,0.8290160000000001
LED1 AC Steve,0.8451000000000001,0.8439640000000002,0.8451000000000001,0.8439640000000002
LED2 AC Steve,0.8451000000000001,0.8439640000000002,0.8451000000000001,0.8439640000000002
LED3 AC Steve,0.8451000000000001,0.8439640000000002,0.8451000000000001,0.8439640000000002
HP Envy DC Steve,0.9123,0.911964,0.9123,0.911964
HP Elite DC Steve,0.9287000000000001,0.9284800000000001,0.9287000000000001,0.9284800000000001
HP Pavilion DC Steve,0.9681000000000001,0.9667520000000001,0.9681000000000001,0.9667520000000001
LED1 DC Steve,0.9326000000000001,0.932404,0.9326000000000001,0.932404
LED2 DC Steve,0.9326000000000001,0.932404,0.9326000000000001,0.932404
LED3 DC Steve,0.9326000000000001,0.932404,0.9326000000000001,0.932404
Secondary AC Steve 2,0.5675,0.5675000000000001,0.5675,0.5675000000000001
Secondary DC Steve,0.7398,0.7398,0.7398,0.7398
Agilent Supply Steve,0.3893,0.38930000000000003,0.3893,0.38930000000000003
Y3 DC LED 56,0.8576,0.8576000000000001,0.8576,0.8576000000000001
Y3 DC LED 48,0.8668,0.8668000000000001,0.8668,0.8668000000000001
Y3 AC LED,0.8321,0.8321,0.8321,0.8321
Y3 DC Fan,0.9070999999999999,0.8900190000000001,0.9070999999999999,0.8900190000000001
Y3 AC Fan,0.8552,0.852061,0.8552,0.852061
Y3 Tenma,0.4617,0.4130790000000001,0.4617,0.4130790000000001
Y3 Tycon,0.8993000000000001,0.883031,0.8993000000000001,0.883031
Y3 DC WallAdapter,0.9070999999999999,0.8900190000000001,0.9070999999999999,0.8900190000000001
Y3 AC WallAdapter,0.8913,0.883401,0.8913,0.883401
Y4 AC Refrigerator,0.99,0.9900000000000001,0.99,0.9900000000000001
Y4 AC High Bay Light,0.92,0.9200000000000002,0.92,0.9200000000000002
Y4 DC High Bay Light,0.985,0.985,0.985,0.985
GSA DC LED OLD,0.8981999999999999,0.858149,0.8981999999999999,0.858149
GSA DC LED,0.92,0.9200000000000002,0.92,0.9200000000000002
LED2CFL Conversion,0.45880000000000004,0.45088100000000003,0.45880000000000004,0.45088100000000003
Power Optimizer H,0.99,0.9883305589123869,0.995,0.9933221273917423
MPPT CC H,0.99,0.9849410000000001,0.99,0.9849410000000001
DC-DC LED Driver HL,0.97,0.956192778759167,0.97,0.956192778759167
Secondary AC Steve 1,0.0,0.0,0.0,0.0
Secondary AC Steve 3,0.0,0.0,0.0,0.0
GSA AC LED Lutron,0.855,0.8536202612704917,0.895,0.893555712090164
